shot_id,episode,scene,shot_number,duration,shot_type,camera_angle,camera_movement,lens,focus,key_light,lighting_style,color_temp,light_direction,shadows,framing,depth,headroom,lead_room,negative_space,character,emotion,action,eyeline,blocking,location,time_of_day,weather,props,costume,color_palette,dialogue,sfx,music,ambience,transition_in,transition_out,pacing,beat,phase,emotional_intensity,purpose_in_arc,visual_subtext,fg_element,mg_focus,bg_ambiance,space_emotion,director_ref,prompt_style,prompt_mood,prompt_lighting
"E001_S001","1","1","1","3.4","CU","High-angle","Pan-L","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","段小樓","悲傷","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Build","起","1","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S002","1","1","2","3.7","MCU","Low-angle","Pan-R","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","菊仙","喜悅","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","1","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S003","1","1","3","2.9","MS","Dutch","Dolly-in","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","關師傅","憤怒","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Climax","起","1","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S004","1","1","4","2.0","MLS","Bird-eye","Dolly-out","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","程蝶衣","恐懼","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","對話","環境音","","氛圍","Cut","Cut","Medium","Release","起","1","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S005","1","1","5","2.9","LS","Eye-level","Crane","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","段小樓","希望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Setup","起","1","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S006","1","1","6","2.4","ELS","High-angle","Handheld","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","菊仙","絕望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Build","起","1","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S007","1","1","7","3.2","OTS","Low-angle","Steadicam","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","關師傅","平靜","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","1","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S008","1","1","8","3.4","POV","Dutch","Static","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","程蝶衣","驚訝","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","對話","環境音","配樂","氛圍","Cut","Cut","Medium","Climax","起","1","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S009","1","1","9","2.9","2Shot","Bird-eye","Pan-L","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","段小樓","糾結","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Release","起","1","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
"E001_S010","1","1","10","2.2","ECU","Eye-level","Pan-R","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","菊仙","緊張","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","灰藍冷色、戲服濃艷、血紅意象","","環境音","","氛圍","Cut","Cut","Medium","Setup","起","1","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","陳凱歌","中式留白美學、色彩象徵、框中景構圖","戲夢人生、時代命運、性別認同","cinematic"
