"shot_id","episode","scene_num","duration","shot_type","camera_angle","camera_movement","character","emotion","action","location","dialogue","Image_Prompt","Video_Prompt"
"E001_S001","1","1","3.3","CU","Eye-level","Pan-L","管場人","滄桑","環顧四周","現代劇院","","Cinematic, CU shot, Eye-level, 管場人, 滄桑, 環顧四周, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-L camera, CU shot, 管場人 環顧四周, 滄桑 mood, 現代劇院, high-key lighting, cinematic, 3.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S002","1","1","2.7","MCU","Eye-level","Pan-R","管場人","懷舊","對話交談","現代劇院","","Cinematic, MCU shot, Eye-level, 管場人, 懷舊, 對話交談, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-R camera, MCU shot, 管場人 對話交談, 懷舊 mood, 現代劇院, high-key lighting, cinematic, 2.7s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S003","1","1","3.5","MS","Eye-level","Tilt-up","程蝶衣","滄桑","對話交談","現代劇院","","Cinematic, MS shot, Eye-level, 程蝶衣, 滄桑, 對話交談, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-up camera, MS shot, 程蝶衣 對話交談, 滄桑 mood, 現代劇院, high-key lighting, cinematic, 3.5s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S004","1","1","3.9","MLS","Eye-level","Tilt-down","管場人","懷舊","對話交談","現代劇院","","Cinematic, MLS shot, Eye-level, 管場人, 懷舊, 對話交談, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-down camera, MLS shot, 管場人 對話交談, 懷舊 mood, 現代劇院, high-key lighting, cinematic, 3.9s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S005","1","1","2.2","LS","Eye-level","Dolly-in","路人","市井","張望","北平廟會","可想死我嘍","Cinematic, LS shot, Eye-level, 路人, 市井, 張望, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-in camera, LS shot, 路人 張望, 市井 mood, 北平廟會, high-key lighting, cinematic, 2.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S006","1","1","2.4","ELS","Eye-level","Dolly-out","小豆子","決絕","牽手走路","北平廟會","","Cinematic, ELS shot, Eye-level, 小豆子, 決絕, 牽手走路, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-out camera, ELS shot, 小豆子 牽手走路, 決絕 mood, 北平廟會, high-key lighting, cinematic, 2.4s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S007","1","1","2.2","OTS","High-angle","Truck-L","商販","畏怯","牽手走路","北平廟會","","Cinematic, OTS shot, High-angle, 商販, 畏怯, 牽手走路, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-L camera, OTS shot, 商販 牽手走路, 畏怯 mood, 北平廟會, high-key lighting, cinematic, 2.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S008","1","1","3.4","POV","High-angle","Truck-R","路人","決絕","躲避搭訕","北平廟會","","Cinematic, POV shot, High-angle, 路人, 決絕, 躲避搭訕, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-R camera, POV shot, 路人 躲避搭訕, 決絕 mood, 北平廟會, high-key lighting, cinematic, 3.4s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S009","1","2","2.7","2Shot","High-angle","Crane-up","關師傅","恐懼","哭泣","關家科班","","Cinematic, 2Shot shot, High-angle, 關師傅, 恐懼, 哭泣, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-up camera, 2Shot shot, 關師傅 哭泣, 恐懼 mood, 關家科班, high-key lighting, cinematic, 2.7s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S010","1","2","2.8","ECU","High-angle","Crane-down","小癩子","堅毅","哭泣","關家科班","打死我也不跑了","Cinematic, ECU shot, High-angle, 小癩子, 堅毅, 哭泣, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-down camera, ECU shot, 小癩子 哭泣, 堅毅 mood, 關家科班, high-key lighting, cinematic, 2.8s duration, Chinese opera, 1920s Beijing aesthetic"
