shot_id,episode,shot_number,duration,shot_type,camera,character,emotion,action,dialogue,scene,time_period,lighting,color_palette,ai_prompt
S0001,1,1,3.6,过肩镜头,跟拍,程蝶衣,梦幻,化妆 - 回忆往事的开端,是我自己搞不清楚。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,暖黄,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 梦幻 expression, 化妆 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, over-the-shoulder shot, 烛火摇曳, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0002,1,2,8.0,俯拍,斯坦尼康,程蝶衣,绝望,"拭泪 - ""二十一年""""二十二年""",说好的，一辈子，差一年、一个月、一天、一个时辰，都不算一辈子。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 绝望 expression, 拭泪 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, high angle shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0003,1,3,5.4,主观镜头,横移,段小楼,豪爽,仰望 - 二人步入闲置剧院,他给袁四爷做了四年的妾！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,老照片褐,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 豪爽 expression, 仰望 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, POV shot, 油灯暖光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0004,1,4,6.9,过肩镜头,横移,程蝶衣,决绝,俯身 - 回忆往事的开端,说好的，一辈子，差一年、一个月、一天、一个时辰，都不算一辈子。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 决绝 expression, 俯身 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, over-the-shoulder shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0005,1,5,6.9,全景,升降,段小楼,悔恨,"站立 - ""二十一年""""二十二年""",,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 站立 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, full shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0006,1,6,2.8,过肩镜头,跟拍,段小楼,悔恨,落座 - 二人步入闲置剧院,咱们是假霸王，真虞姬。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,淡金,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 落座 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, over-the-shoulder shot, 烛火摇曳, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0007,1,7,7.9,特写,手持晃动,段小楼,悔恨,起身 - 回忆往事的开端,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,老照片褐,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 起身 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, extreme close-up shot, 烛火摇曳, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0008,1,8,7.5,大全景,环绕,程蝶衣,迷离,"挥手 - ""二十一年""""二十二年""",,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,琥珀,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 迷离 expression, 挥手 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, wide establishing shot, 油灯暖光, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0009,1,9,5.8,近景,固定,段小楼,悔恨,对视 - 二人步入闲置剧院,我段某人说话算话！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,老照片褐,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 对视 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, close-up shot, 烛火摇曳, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0010,1,10,7.8,主观镜头,横移,段小楼,愧疚,对视 - 回忆往事的开端,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,暖黄,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 愧疚 expression, 对视 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, POV shot, 烛火摇曳, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
