shot_id,duration,shot_type,character,action,dialogue,Image_Prompt,Video_Prompt
1,5,全景,千尋一家,父亲开车误入林间小路，发现神秘隧道，决定进入,父亲：进去看看吧。千尋：不要，我害怕。,"夕阳下，林间小路尽头，一个爬满藤蔓的古老石砌隧道入口，光线昏暗神秘","Wide shot of a family car stopping before a mysterious vine-covered tunnel entrance at dusk. Slow push-in towards the darkness. Studio Ghibli style, cinematic, 4K"
2,4,中景,千尋,千尋紧紧抓住母亲的手，眼神充满不安，脚步迟疑,"","千尋站在隧道入口，紧抓母亲衣角，背景是神秘的隧道黑暗。吉卜力风格，温暖的夕阳光线","Medium shot of a young girl holding her mother's hand hesitantly before a dark tunnel. Warm sunset lighting, Studio Ghibli aesthetic"
3,6,全景,千尋一家,一家人穿过长长的石砌隧道，脚步声回响,"","吉卜力风格，隧道内部，父母走在前面，千尋迟疑跟在后，远处出口是神秘光亮","Family walking through a long stone tunnel, parents ahead, girl trailing behind. Light at the end. Studio Ghibli style, cinematic"
4,5,全景,千尋一家,走出隧道，眼前是辽阔的荒原与废弃小镇，天色渐暗,"","走出隧道后，广阔的草原和远处废弃的日式小镇，夕阳西下","Wide establishing shot of an abandoned Japanese town on a vast grassland, dusk sky. Studio Ghibli, ethereal atmosphere"
5,4,近景,父母,父母闻到食物香味，眼睛发亮，快步走向美食摊位,"父亲：好香啊！","父母脸上贪婪的表情，背景模糊的食物摊位","Close-up of parents' faces lighting up with hunger, blurred food stalls behind. Dramatic lighting, Studio Ghibli style"
6,3,中景,父母,父母大口吃着各种美食，越吃越多，像着了魔一样,,"父母坐在摊位前狼吞虎咽，周围堆满食物","Medium shot of parents eating voraciously at a food stall, surrounded by piles of food. Ominous undertone, Ghibli aesthetic"
7,5,近景,千尋,千尋独自在空荡荡的街道上行走，发现天色变暗，开始害怕,"千尋：妈妈？爸爸？","千尋独自站在空旷的街道上，天色昏暗，灯笼开始亮起","Young girl alone on an empty street as lanterns begin to glow, twilight sky. Lonely, atmospheric, Studio Ghibli"
8,4,特写,千尋,千尋发现自己的身体开始透明，惊恐地看着自己的手,"","千尋的手开始变得透明，她的脸上是恐惧的表情","Extreme close-up of a girl's translucent hand, her terrified face in background. Supernatural, dramatic lighting"
9,3,全景,黑影/神灵,街道上出现无数黑色的影子，是神灵们现身,"","黑暗的街道上涌出无数黑色半透明的神灵身影","Wide shot of dark spirits emerging on the streets, ethereal and supernatural. Studio Ghibli style, mystical atmosphere"
10,5,近景,千尋,千尋惊恐地跑向父母，却发现他们变成了两头巨大的猪,"千尋：爸爸！妈妈！","千尋跪在两头大猪前，泪流满面，背景是昏暗的餐厅","Girl kneeling before two large pigs, crying. Dark restaurant interior. Emotional, tragic, Studio Ghibli aesthetic"
11,4,全景,千尋,千尋绝望地跑开，身体越来越透明,"","千尋在黑暗中奔跑，身体半透明，周围是神灵的世界","Girl running in panic, her body becoming transparent. Spirit world atmosphere. Ghibli style, dramatic"
12,3,中景,白龙,白龙从黑暗中出现，伸出手,"白龙：快吃下这个！","英俊的少年从阴影中现身，手中拿着食物，表情严肃","A handsome boy emerging from shadows, holding food, serious expression. Mysterious, protective aura, Ghibli style"
13,4,特写,千尋,千尋吃下白龙给的食物，身体开始恢复实体,"","千尋咬下食物的特写，泪水和希望混合的表情","Close-up of girl eating, tears and hope in her eyes. Emotional moment, soft lighting, Studio Ghibli"
14,5,全景,白龙带千尋,白龙拉着千尋的手，带她穿过神灵聚集的桥,"白龙：不要回头，一直往前走！","白龙拉着千尋跑过一座长桥，桥上都是各种神灵","Two figures running across a bridge crowded with spirits. Nighttime, lantern-lit, magical atmosphere"
15,4,远景,汤屋,巨大的汤屋建筑出现在眼前，灯火辉煌,"","巨大的日式澡堂建筑，灯火通明，烟囱冒着蒸汽","Establishing shot of a massive traditional Japanese bathhouse, lights glowing, steam rising. Majestic, Ghibli landmark"
16,3,中景,千尋,千尋怯生生地站在汤屋门口，不敢进去,"","千尋站在巨大的汤屋入口前，显得渺小而害怕","Girl standing before the massive bathhouse entrance, looking small and scared. Dramatic scale contrast"
17,4,中景,汤婆婆,汤婆婆出现，巨大的头颅，严厉的眼神,"汤婆婆：想在这里工作？先签下你的名字！","大头的老婆婆，表情严厉，手指着一份契约","Intimidating old woman with oversized head, pointing at a contract. Powerful, menacing presence"
18,3,特写,契约,千尋签下自己的名字，汤婆婆取走她名字中的一半,"","毛笔在纸上写下"荻野千尋"，然后"荻野"消失","Close-up of brush writing a name on paper, part of it disappearing magically. Symbolic, ominous"
19,4,近景,千尋变成千,千尋变成了"千"，眼神迷茫,"汤婆婆：从现在起，你叫千！","女孩的眼神迷茫空洞，背景是汤婆婆模糊的身影","Girl's confused, empty expression, blurred figure of witch behind. Loss of identity theme"
20,5,全景,汤屋内部,千开始在汤屋里工作，擦洗地板，疲惫不堪,"","女孩跪在地上擦洗巨大的浴室地板，周围是各种奇怪的员工","Girl scrubbing massive bathhouse floor, surrounded by strange workers. Hard work theme, Ghibli aesthetic"
