shot_id,duration,shot_type,scene,environment,lighting,mood,character,action,dialogue,camera_movement,Image_Prompt,Video_Prompt
1,5,全景,隧道入口,林间小路尽头/古老石砌隧道/藤蔓缠绕,夕阳斜照/金黄色暖光/隧道内黑暗,神秘/不祥,千尋一家,父亲停车，一家人站在隧道前，父母好奇张望，千尋不安,父亲：进去看看吧。千尋：不要我害怕,缓慢推进,"A mysterious vine-covered stone tunnel entrance in a forest at golden hour. Warm sunset light contrasts with the dark tunnel interior. A family of three stands before it - parents curious, daughter hesitant. Studio Ghibli style, hand-painted aesthetic, atmospheric, cinematic 4K","Slow push-in shot towards a mysterious tunnel entrance. Family car parked on forest path. Parents walk forward eagerly while daughter lingers. Golden hour lighting, long shadows. Studio Ghibli animation style, cinematic"
2,4,中景,隧道入口,隧道黑暗入口/石墙/落叶,逆光/剪影效果/温暖夕阳背光,紧张/依赖,千尋,千尋紧抓母亲衣角，回头望向来路，眼神不安,,固定机位,"Medium shot of a young girl clutching her mother's coat, looking back nervously. Backlit by warm sunset, creating a silhouette effect against the dark tunnel entrance. Stone walls, fallen leaves. Studio Ghibli, emotional, nostalgic","Static medium shot of girl holding mother's clothing, hesitating before dark tunnel. Backlit by golden sunset. Her expression shows fear and reluctance. Ghibli aesthetic, emotional"
3,6,跟拍全景,隧道内部,长长石砌走廊/墙壁斑驳/远处光亮,昏暗/远处出口微光/潮湿感,压抑/好奇,千尋一家,一家人穿过长长隧道，脚步声回响，父母在前千尋拖后,,跟拍从后方,"Long stone tunnel interior with mottled walls. Family walking in single file - parents ahead, daughter trailing behind. Dim lighting with a bright exit visible in the distance. Damp, echoing atmosphere. Ghibli style, mysterious","Tracking shot following family through dark tunnel from behind. Footsteps echo. Parents walk confidently ahead while daughter looks around nervously. Dim ambient light, bright exit ahead. Cinematic, atmospheric"
4,5,大全景,废弃小镇,广阔草原/日式废弃建筑/钟楼/红色鸟居,黄昏天空/紫橙渐变/逆光,苍凉/神秘/美丽,千尋一家,走出隧道，眼前是辽阔的草原和废弃小镇,,缓慢右移展现全景,"Vast grassland with abandoned Japanese town in distance. Clock tower, red torii gates, traditional buildings. Purple-orange dusk sky. Family small figures emerging from tunnel. Studio Ghibli, epic scale, melancholic beauty, 4K cinematic","Slow pan right revealing vast landscape. Family emerges from tunnel into open grassland. Abandoned Japanese town visible in distance under dramatic dusk sky. Wind blows through tall grass. Ghibli epic establishing shot"
5,4,近景,美食摊位,热气腾腾的各种美食/精美餐具/暖色灯光,暖黄色灯光/食物蒸汽/诱人光泽,诱惑/贪婪,父母,父母闻到食物香味，眼睛发亮，表情贪婪,父亲：好香啊！,推镜头到脸部特写,"Close-up of parents' faces illuminated by warm food stall lights. Eyes gleaming with hunger, steam rising around them. Various delicious foods visible. Warm yellow lighting creates inviting but ominous atmosphere. Ghibli style","Push-in on parents' faces as they smell delicious food. Warm lamp light, steam rising. Their expressions change from curiosity to hungry greed. Food stall background blurs. Ominous undertone despite warm colors"
6,4,中景,餐厅摊位,堆满食物的桌子/各种菜肴/碗碟叠加,暖黄灯光/食物油光/蒸汽缭绕,贪婪/疯狂,父母,父母大口吞食，越吃越多，神态像着了魔,,环绕拍摄,"Parents eating voraciously at food stall surrounded by piles of dishes. Warm lamp light, glistening food, rising steam. Their eating becomes increasingly frantic and pig-like. Stacked bowls and plates. Ghibli style, disturbing undertone","Orbiting shot around parents devouring food frantically. Piles of dishes accumulating. Warm lighting but uncomfortable atmosphere. Their movements become more animalistic. Steam and food debris. Unsettling transformation begins"
7,5,跟拍中景,空荡街道,日式商店街/关闭的店铺/纸灯笼开始亮起,蓝调时刻/暖色灯笼对比冷色天空,孤独/恐惧,千尋,千尋独自走在街上，天色变暗，灯笼亮起，她开始害怕,千尋：妈妈？爸爸？,手持跟拍略微晃动,"Girl walking alone on empty Japanese shopping street. Paper lanterns beginning to glow against darkening blue sky. Closed shops, long shadows. Her small figure conveys loneliness and growing fear. Ghibli style, atmospheric","Handheld tracking shot following girl through empty street. Paper lanterns flicker to life as dusk deepens. Cold blue sky contrasts warm orange lanterns. She calls for parents, voice echoing. Lonely, increasingly frightening"
8,4,特写,街道,千尋的手/透明化效果/背景模糊街道,昏暗环境光/皮肤透明质感,恐惧/超自然,千尋,千尋发现自己的身体开始透明，惊恐地看着自己的手,,固定特写轻微推进,"Extreme close-up of girl's hand becoming translucent. Street background blurred. Her skin appears ghost-like, semi-transparent. Terror in the small portion of her face visible. Supernatural transformation. Ghibli style, horrifying beauty","Slow push-in on girl's translucent hand. She holds it up against dim streetlight, seeing through her own flesh. Background blurs as she focuses on the impossible sight. Horror and disbelief. Supernatural atmosphere"
9,4,全景,街道/桥,黑暗街道/涌现的黑色神灵/灯笼光晕,低调照明/灯笼光斑/神秘蓝黑色,超自然/恐惧,神灵们,街道上涌现无数黑色半透明的神灵身影,,慢速横移,"Dark street filled with emerging black spirits. Paper lanterns create pools of warm light in the darkness. Countless shadowy figures materialize - some tall, some round, all mysterious. Supernatural atmosphere. Ghibli style spirits","Slow lateral tracking shot as spirits emerge from shadows. Black semi-transparent figures of various shapes materialize on the street. Lantern light creates eerie atmosphere. Girl frozen in terror. Ghibli supernatural world"
10,5,中景,餐厅,昏暗餐厅/满地狼藉/两头巨猪,微弱灯光/油腻反光/压抑氛围,绝望/悲伤,千尋与变成猪的父母,千尋跪在两头大猪前，泪流满面，认出这是父母,千尋：爸爸！妈妈！,缓慢下降到千尋视角,"Girl kneeling before two huge pigs in messy restaurant. Dim lighting reveals greasy leftovers and overturned dishes. She cries, recognizing her transformed parents. Tragic, emotional. Low angle emphasizes her small, devastated figure. Ghibli","Slow crane down to girl's level as she kneels before pig-parents. Tears stream down her face. Restaurant in chaos around them. Dim lighting, greasy atmosphere. Emotional devastation. Ghibli tragic moment"
