"shot_id","episode","scene_num","shot_number","duration","shot_type","camera_angle","camera_movement","lens","focus","key_light","lighting_style","color_temp","light_direction","shadows","framing","depth","headroom","lead_room","character","emotion","action","eyeline","blocking","location","time_of_day","weather","props","costume","color_palette","dialogue","sfx","music","ambience","transition_in","transition_out","pacing","beat","phase","prompt_style","prompt_camera","prompt_mood","prompt_lighting","reference"
"E001_S001","1","1","1","3.3","CU","Eye-level","Pan-L","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Side-L","Harsh","Center","FG-focus","Tight","Lead-left","管場人","滄桑","環顧四周","Down","Enter-R","現代劇院","日間","室內","舞台","工作服","灰藍冷色","","衣物摩擦","","迴響","Fade-in","Cut","Slow","Setup","起","Cinematic","cu shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S002","1","1","2","2.7","MCU","Eye-level","Pan-R","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Side-R","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","管場人","懷舊","對話交談","Off-screen-R","Turn","現代劇院","日間","室內","京劇頭面","便裝","灰藍冷色","","呼吸聲","","安靜","Fade-in","Cut","Slow","Setup","起","Cinematic","mcu shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S003","1","1","3","3.5","MS","Eye-level","Tilt-up","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Back","Harsh","Symmetry","FG-focus","Tight","Lead-left","程蝶衣","滄桑","對話交談","Down","Exit-L","現代劇院","日間","室內","舞台","便裝","灰藍冷色","","環境音","","嘈雜","Fade-out","Cut","Slow","Setup","起","Cinematic","ms shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S004","1","1","4","3.9","MLS","Eye-level","Tilt-down","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Top","Harsh","Dynamic","FG-focus","Tight","Lead-left","管場人","懷舊","對話交談","Down","Cross","現代劇院","日間","室內","聚光燈","便裝","灰藍冷色","","","","空曠","Wipe","Cut","Slow","Setup","起","Cinematic","mls shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S005","1","1","5","2.2","LS","Eye-level","Dolly-in","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","路人","市井","張望","Off-screen-R","Static","北平廟會","日間","雪天","年貨","各色服飾","暖黃雜色","可想死我嘍","鑼鼓聲","","壓抑","Match-cut","Cut","Slow","Setup","起","Cinematic","ls shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S006","1","1","6","2.4","ELS","Eye-level","Dolly-out","Wide 24mm","Deep","Hard-key","High-key","Warm-3200K","3-point","Harsh","Center","FG-focus","Tight","Lead-left","小豆子","決絕","牽手走路","Off-screen-R","Turn","北平廟會","日間","雪天","糖葫蘆","老式旗袍","暖黃雜色","","人群嘈雜","","迴響","J-cut","Cut","Medium","Build","起","Cinematic","els shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S007","1","1","7","2.2","OTS","High-angle","Truck-L","Wide 24mm","Deep","Hard-key","High-key","Warm-3200K","Front","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","商販","畏怯","牽手走路","Down","Exit-R","北平廟會","日間","雪天","攤販貨物","破舊棉襖","暖黃雜色","","風聲","","迴響","L-cut","Cut","Medium","Build","起","Cinematic","ots shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S008","1","1","8","3.4","POV","High-angle","Truck-R","Wide 24mm","Deep","Soft-key","High-key","Warm-3200K","Side-L","Harsh","Symmetry","MG-focus","Tight","Lead-left","路人","決絕","躲避搭訕","Camera","Exit-R","北平廟會","日間","雪天","年貨","老式旗袍","暖黃雜色","","環境音","","嘈雜","Cut","Cut","Medium","Build","起","Cinematic","pov shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S009","1","2","9","2.7","2Shot","High-angle","Crane-up","Wide 24mm","Deep","Soft-key","High-key","Warm-3200K","Side-R","Harsh","Dynamic","MG-focus","Tight","Lead-left","關師傅","恐懼","哭泣","Camera","Exit-R","關家科班","黃昏","陰冷","練功墊","練功服","土褐暗色","","腳步聲","","嘈雜","Dissolve","Cut","Medium","Build","起","Cinematic","2shot shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S010","1","2","10","2.8","ECU","High-angle","Crane-down","Wide 24mm","Shallow","Soft-key","High-key","Neutral-5600K","Back","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小癩子","堅毅","哭泣","Off-screen-L","Cross","關家科班","黃昏","陰冷","竹竿","練功服","土褐暗色","打死我也不跑了","","緊張弦樂","迴響","Fade-in","Cut","Medium","Build","起","Cinematic","ecu shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
