version,shot_id,importance,duration_sec,画面描述,Image_Prompt
"lite_50shots","E001_S001","C","4","大远景镜头，一辆汽车行驶在郁郁葱葱的乡间小路上，天空晴朗，远处有山峦，画面充满吉卜力动画的柔和色彩和细腻笔触，营造出宁静的搬家氛围。","Extreme long shot of a car driving on a country road, lush green fields, blue sky, distant mountains, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S002","B","5","中景镜头，车内后座，千寻侧脸望着窗外，表情孤独，阳光透过车窗洒在她身上，父母在前座模糊交谈，背景是流动的风景。","Medium shot inside car, Chihiro sitting in back seat looking out window, lonely expression, sunlight filtering through window, parents blurred in front seat, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S003_HERO","S","8","特写镜头，千寻手中握着一束枯萎的花，花瓣凋零，颜色暗淡，她的手指轻轻触摸花瓣，表情落寞，背景虚化，突出花束的细节和千寻的情感。","Close-up of Chihiro holding a withered flower bouquet, wilted petals, dull colors, her fingers touching the petals, sad expression, blurred background, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S004","B","5","中景镜头，父母在前座聊天，父亲驾驶，母亲指向窗外，千寻在后座沉默，车内空间紧凑，光影交错，展示家庭互动。","Medium shot of parents in front seat talking, father driving, mother pointing outside, Chihiro silent in back seat, tight car interior, light and shadow play, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S005","A","6","远景镜头，汽车驶入逐渐密集的森林，树木高大阴影笼罩，气氛从明亮转为神秘，光线变暗，营造不安感。","Long shot of car entering dense forest, tall trees casting shadows, atmosphere shifting from bright to mysterious, dimming light, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S006_HERO","S","8","全景镜头，汽车停在红色隧道入口前，隧道拱门鲜艳红色，周围是阴暗森林，一家三口站在车旁，对比强烈，视觉冲击力强。","Full shot of car parked in front of red tunnel entrance, vibrant red archway, dark forest surrounding, family of three standing by car, strong contrast, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S007","B","5","中景镜头，父母下车走向隧道，父亲带头，母亲跟随，千寻犹豫地跟在后面，姿态紧张，背景隧道入口巨大。","Medium shot of parents getting out of car and walking towards tunnel, father leading, mother following, Chihiro hesitating behind, tense posture, large tunnel entrance in background, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S008","A","6","主观视角镜头，千寻的POV，隧道内部黑暗深邃，只有入口处透进光线，墙壁粗糙，脚步声回荡，增强沉浸感和恐惧。","POV shot from Chihiro's perspective, dark interior of tunnel, light filtering from entrance, rough walls, echoing footsteps, immersive and fearful, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S009","C","4","跟随镜头，一家三口走进隧道，镜头从背后缓慢推进，身影逐渐被黑暗吞没，光线变化，象征进入未知世界。","Follow shot of family walking into tunnel, camera slowly pushing from behind, figures gradually swallowed by darkness, light changing, symbolic of entering unknown world, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S010","C","4","隧道内镜头，从内部回望入口，光线形成光晕，一家三口变成剪影，隧道深处隐约有奇怪声音，营造神秘氛围。","Shot inside tunnel looking back at entrance, light forming halo, family silhouetted, strange sounds from deep tunnel, mysterious atmosphere, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S011_HERO","S","8","大远景镜头，废弃小镇全景，古老建筑排列，街道空旷，雾气弥漫，夕阳余晖染红天空，吉卜力风格细腻，史诗感强烈。","Extreme long shot of abandoned town panorama, ancient buildings lined up, empty streets, misty atmosphere, sunset glow reddening sky, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S012","B","5","中景镜头，一家三口走进小镇，千寻好奇张望，父母兴奋，背景建筑细节丰富，光影交错，展示角色与环境互动。","Medium shot of family walking into town, Chihiro looking around curiously, parents excited, detailed buildings in background, light and shadow interplay, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S013","C","4","特写镜头，街道旁奇怪店铺的招牌，雕刻诡异图案，色彩鲜艳但褪色，风吹动招牌吱呀作响，增强诡异感。","Close-up of strange shop sign on street, carved eerie patterns, vibrant but faded colors, sign creaking in wind, enhancing weirdness, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S014","B","5","中景镜头，美食摊位摆满各种食物，热气腾腾，颜色诱人，父母被吸引走近，千寻站在后方犹豫，画面丰富细节。","Medium shot of food stall filled with various dishes, steaming hot, tempting colors, parents drawn closer, Chihiro hesitating behind, rich details, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S015","A","6","特写镜头，食物看起来美味但诡异，肉块蠕动，汤汁冒泡，色彩超现实，千寻的倒影映在食物上，表达不安。","Close-up of food looking delicious but eerie, meat wriggling, soup bubbling, surreal colors, Chihiro's reflection in food, expressing unease, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S016","B","5","中景镜头，父母被美食诱惑，父亲伸手取食，母亲点头微笑，千寻在背景中试图阻止，动态构图展示冲突。","Medium shot of parents tempted by food, father reaching for dish, mother nodding and smiling, Chihiro trying to stop in background, dynamic composition showing conflict, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S017","A","6","近景镜头，千寻面部表情紧张，眼睛睁大，嘴唇微颤，背景父母模糊贪吃，突出她的恐惧和孤立无援。","Close-up of Chihiro's face tense, eyes wide, lips trembling, parents blurred eating in background, highlighting her fear and isolation, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S018","B","5","中景镜头，父母贪吃场景，食物快速消失，他们表情陶醉，千寻冲上前挥手警告，动作激烈，氛围紧张。","Medium shot of parents greedily eating, food disappearing quickly, their expressions ecstatic, Chihiro rushing forward waving warning, intense action, tense atmosphere, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S019_HERO","S","8","中近景镜头，千寻大声警告父母，手势强烈，表情焦急，父母不理睬继续吃，光影对比强调情感爆发和冲突高潮。","Medium close-up of Chihiro shouting warning to parents, strong gestures, anxious expression, parents ignoring and continuing to eat, light and shadow contrast emphasizing emotional climax and conflict, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S020","C","4","全景镜头，父母坐在摊位前大快朵颐，千寻转身离开，背景小镇夜幕降临，灯笼亮起，象征后果开始。","Full shot of parents eating heartily at stall, Chihiro turning away, town at dusk in background, lanterns lighting up, symbolizing consequences beginning, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S021_HERO","S","8","远景镜头，红桥跨越河流，油屋灯笼悬挂发光，建筑宏伟，夜色中烟雾缭绕，吉卜力奇幻风格，视觉震撼。","Long shot of red bridge spanning river, bathhouse lanterns hanging and glowing, majestic building, smoky night atmosphere, Studio Ghibli fantasy style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S022","B","5","中景镜头，千寻独自走在红桥上，小心翼翼，表情困惑，背景油屋灯笼闪烁，水面倒影波光粼粼。","Medium shot of Chihiro walking alone on red bridge,小心翼翼，confused expression, bathhouse lanterns flickering in background, water reflections shimmering, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S023","B","5","全景镜头，油屋外观细节，多层建筑，灯笼和旗帜飘扬，烟雾从烟囱冒出，神秘而吸引人，千寻站在前景。","Full shot of bathhouse exterior details, multi-story building, lanterns and flags fluttering, smoke billowing from chimney, mysterious and appealing, Chihiro in foreground, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S024","B","5","特写镜头，油屋灯笼细节，纸质灯笼上绘有奇特图案，内部烛光摇曳，光影舞动，增强神秘氛围。","Close-up of bathhouse lantern detail, paper lantern with strange patterns painted, candlelight flickering inside, light and shadow dancing, enhancing mysterious atmosphere, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S025","A","6","中景镜头，千寻停下脚步，听到奇怪声音，转身张望，表情警惕，背景阴影移动，营造悬疑感。","Medium shot of Chihiro stopping, hearing strange sound, turning to look around, alert expression, shadows moving in background, creating suspense, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S026_HERO","S","8","远景镜头，白龙从空中降临，身形优美，鳞片闪烁，背景月光洒落，千寻仰视，画面充满神话感和视觉冲击。","Long shot of Haku descending from sky, elegant form, scales glimmering, moonlight in background, Chihiro looking up,画面充满神话感和视觉冲击, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S027","B","5","中景镜头，白龙接近千寻，低头凝视，千寻后退一步，表情混合恐惧和好奇，光影强调龙的神秘威严。","Medium shot of Haku approaching Chihiro,低头凝视, Chihiro stepping back, expression mixing fear and curiosity, light and shadow emphasizing dragon's mystery and majesty, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S028","A","6","特写镜头，千寻惊讶的表情，眼睛睁大，嘴巴微张，白龙的倒影在她眼中，背景模糊，突出情感反应。","Close-up of Chihiro's surprised expression, eyes wide, mouth slightly open, Haku's reflection in her eyes, blurred background, highlighting emotional reaction, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S029","B","5","全景镜头，白龙示意千寻跟随，转身飞向油屋，千寻犹豫后跟上，画面动态，夜色中身影渐行渐远。","Full shot of Haku gesturing Chihiro to follow, turning and flying towards bathhouse, Chihiro hesitating then following, dynamic scene, figures fading into night, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"lite_50shots","E001_S030","C","4","大远景镜头，油屋在夜幕中矗立，灯笼点点，白龙和千寻消失于建筑中，天空星辰初现，象征冒险开始。","Extreme long shot of bathhouse standing in night, lanterns dotting, Haku and Chihiro disappearing into building, stars appearing in sky, symbolizing adventure beginning, Studio Ghibli style, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815"
"reasoner","E001_S001","C","5","大远景镜头，展示一辆白色汽车行驶在蜿蜒的乡间小路上。周围是连绵的绿色山丘和零星树木，天空清澈湛蓝，阳光透过云层洒下柔和光影。","Extreme long shot of a white car driving on a winding country road through green hills, Ghibli animation style, cinematic, soft sunlight, clear blue sky, detailed landscape, 8K, film grain, --ar 16:9"
"reasoner","E001_S002_HERO","S","8","特写镜头，聚焦于千寻手中捧着的枯萎花束。花束由白色和粉色花朵组成，但颜色暗淡，花瓣凋零卷曲。千寻的脸部部分入镜，她低着头，眼神落寞而若有所思。","Extreme close-up of a withered flower bouquet in Chihiro's hands, Ghibli style, cinematic lighting, shallow depth of field, Chihiro's sad expression in the background, 8K, film grain, --ar 16:9"
