shot_id,episode,scene,shot_number,duration,shot_type,camera_angle,camera_movement,lens,focus,key_light,lighting_style,color_temp,light_direction,shadows,framing,depth,headroom,lead_room,negative_space,character,emotion,action,eyeline,blocking,location,time_of_day,weather,props,costume,color_palette,dialogue,sfx,music,ambience,transition_in,transition_out,pacing,beat,phase,emotional_intensity,purpose_in_arc,visual_subtext,fg_element,mg_focus,bg_ambiance,space_emotion,director_ref,prompt_style,prompt_mood,prompt_lighting
"E001_S001","1","1","1","2.8","CU","High-angle","Pan-L","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","白龍/琥珀川","悲傷","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Build","起","1","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S002","1","1","2","2.3","MCU","Low-angle","Pan-R","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","湯婆婆","喜悅","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","1","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S003","1","1","3","2.4","MS","Dutch","Dolly-in","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","無臉男","憤怒","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Climax","起","1","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S004","1","1","4","3.8","MLS","Bird-eye","Dolly-out","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","千尋/小千","恐懼","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","對話","環境音","","氛圍","Cut","Cut","Medium","Release","起","1","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S005","1","1","5","2.1","LS","Eye-level","Crane","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","白龍/琥珀川","希望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Setup","起","2","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S006","1","1","6","2.4","ELS","High-angle","Handheld","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","湯婆婆","絕望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Build","起","2","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S007","1","1","7","2.8","OTS","Low-angle","Steadicam","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","無臉男","平靜","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","2","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S008","1","1","8","2.7","POV","Dutch","Static","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","千尋/小千","驚訝","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","對話","環境音","配樂","氛圍","Cut","Cut","Medium","Climax","起","2","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S009","1","1","9","3.8","2Shot","Bird-eye","Pan-L","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","白龍/琥珀川","糾結","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Release","起","3","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S010","1","1","10","2.1","ECU","Eye-level","Pan-R","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","湯婆婆","緊張","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Setup","起","3","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S011","1","1","11","2.3","CU","High-angle","Dolly-in","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","無臉男","悲傷","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Build","起","3","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S012","1","1","12","3.3","MCU","Low-angle","Dolly-out","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","千尋/小千","喜悅","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","對話","環境音","","氛圍","Cut","Cut","Medium","Tension","起","3","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S013","1","1","13","3.5","MS","Dutch","Crane","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","白龍/琥珀川","憤怒","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Climax","起","3","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S014","1","1","14","2.4","MLS","Bird-eye","Handheld","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","湯婆婆","恐懼","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Release","起","4","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S015","1","1","15","3.6","LS","Eye-level","Steadicam","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","無臉男","希望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Setup","起","4","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S016","1","2","16","2.1","ELS","High-angle","Static","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","千尋/小千","絕望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","對話","環境音","配樂","氛圍","Cut","Cut","Medium","Build","起","4","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S017","1","2","17","2.8","OTS","Low-angle","Pan-L","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","白龍/琥珀川","平靜","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","4","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S018","1","2","18","2.4","POV","Dutch","Pan-R","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","湯婆婆","驚訝","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Climax","起","5","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S019","1","2","19","2.7","2Shot","Bird-eye","Dolly-in","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","無臉男","糾結","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Release","起","5","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S020","1","2","20","2.7","ECU","Eye-level","Dolly-out","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","千尋/小千","緊張","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","對話","環境音","","氛圍","Cut","Cut","Medium","Setup","起","5","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S021","1","2","21","3.1","CU","High-angle","Crane","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","白龍/琥珀川","悲傷","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Build","起","5","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S022","1","2","22","2.5","MCU","Low-angle","Handheld","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","湯婆婆","喜悅","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","5","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S023","1","2","23","3.4","MS","Dutch","Steadicam","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","無臉男","憤怒","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Climax","起","6","回落","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S024","1","2","24","2.1","MLS","Bird-eye","Static","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","千尋/小千","恐懼","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","對話","環境音","配樂","氛圍","Cut","Cut","Medium","Release","起","6","餘韻","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S025","1","2","25","2.3","LS","Eye-level","Pan-L","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","Yes","白龍/琥珀川","希望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Setup","起","6","鋪墊","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S026","1","2","26","2.8","ELS","High-angle","Pan-R","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","湯婆婆","絕望","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Build","起","6","升溫","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
"E001_S027","1","2","27","2.2","OTS","Low-angle","Dolly-in","Normal 50mm","Deep","Soft-key","Rembrandt","Neutral-5600K","Side-L","Soft","Rule-of-thirds","Layered","Normal","Lead-left","No","無臉男","平靜","動作描述","Camera","Static","主要場景","日間","晴天","道具","服裝","翠綠自然、橙紅黃昏、神秘紫藍","","環境音","","氛圍","Cut","Cut","Medium","Tension","起","7","爆發","視覺潛台詞","前景元素","中景焦點","背景氛圍","空間情緒","宮崎駿","吉卜力風格、細膩自然光、動畫式高光","成長、自我認知、環境保護","cinematic"
