shot_id,episode,scene,shot_number,duration,shot_type,camera_angle,camera_movement,lens,focus,key_light,lighting_style,color_temp,light_direction,shadows,framing,depth,headroom,lead_room,negative_space,character,emotion,action,eyeline,blocking,location,time_of_day,weather,props,costume,color_palette,dialogue,sfx,music,ambience,transition_in,transition_out,pacing,beat,phase,emotional_intensity,purpose_in_arc,visual_subtext,fg_element,mg_focus,bg_ambiance,space_emotion,director_ref,prompt_style,prompt_mood,prompt_lighting
"E001_S001","1","1","1","3.6","CU","Bird-eye","Dolly-in","Normal 35mm","Rack-focus","Practical","Split","Cool-7000K","Side-L","Dramatic","Leading-lines","BG-focus","Normal","Center","No","配角","喜悅","動作描述","Off-L","Enter-L","場景","日間","陰天","道具","服裝","灰藍冷色/戲服濃艷","","環境音","","嘈雜","Fade-in","Fade-out","Medium","Setup","起","1","鋪墊","視覺潛台詞描述","框架元素","中景焦點","室內","開闘","陳凱歌","中式留白","Hopeful","Split lighting"
"E001_S002","1","1","2","2.3","MCU","Oblique","Truck-L","Normal 50mm","Split-diopter","Mixed","Silhouette","Mixed","Side-R","None","Center","Deep-all","Loose","Off-frame","No","群演","憤怒","動作描述","Off-R","Enter-R","場景","日間","雨天","道具","服裝","灰藍冷色/戲服濃艷","","衣物","","迴響","Fade-out","Match-cut","Fast","Setup","起","1","鋪墊","視覺潛台詞描述","引導線","中景焦點","虛化","疏離","陳凱歌","中式留白","Desperate","Butterfly lighting"
"E001_S003","1","1","3","4.3","MS","Low-angle","Crane-up","Tele 85mm","Deep","Hard-key","Natural","Golden-hour","Back","Dappled","Dynamic-diagonal","Layered","Cropped","Looking-room","No","主角","恐懼","動作描述","Down","Exit-L","場景","日間","雪天","道具","服裝","灰藍冷色/戲服濃艷","對話內容","呼吸","","空曠","Match-cut","J-cut","Slow","Setup","起","1","鋪墊","視覺潛台詞描述","遮擋物","中景焦點","活動","溫馨","陳凱歌","中式留白","Serene","Silhouette lighting"
"E001_S004","1","1","4","3.6","MLS","Worm-eye","Handheld","Tele 135mm","Shallow","Soft-key","Low-key","Warm-3200K","Top","Harsh","Rule-of-thirds","Split","Breathing-room","Lead-left","Yes","配角","希望","動作描述","Up","Exit-R","場景","日間","霧天","道具","服裝","灰藍冷色/戲服濃艷","","風聲","","壓抑","J-cut","L-cut","Medium","Setup","起","2","鋪墊","視覺潛台詞描述","無","中景焦點","城市景","神秘","陳凱歌","中式留白","Chaotic","Chiaroscuro lighting"
"E001_S005","1","1","5","3.8","LS","Eye-level","Drone-arc","Macro","Rack-focus","Natural","Split","Neutral-5600K","Rim","Soft","Symmetry","FG-focus","Tight","Lead-right","No","群演","絕望","動作描述","Distance","Cross","場景","日間","晴天","道具","服裝","灰藍冷色/戲服濃艷","","水聲","","溫馨","L-cut","Wipe","Fast","Setup","起","1","鋪墊","視覺潛台詞描述","模糊前景","中景焦點","自然景","危險","陳凱歌","中式留白","Intimate","Natural lighting"
"E001_S006","1","1","6","2.6","ELS","Dutch","Whip-pan","Wide 16mm","Split-diopter","Practical","Silhouette","Cool-7000K","3-point","Dramatic","Frame-within-frame","MG-focus","Normal","Center","No","主角","平靜","動作描述","Camera","Turn","場景","日間","陰天","道具","服裝","灰藍冷色/戲服濃艷","對話內容","人群","","安靜","Wipe","Iris","Slow","Setup","起","1","鋪墊","視覺潛台詞描述","框架元素","中景焦點","室內","壓抑","陳凱歌","中式留白","Epic","High-key lighting"
"E001_S007","1","1","7","3.9","XLS","Canted","Pan-L","Normal 35mm","Deep","Mixed","Natural","Mixed","Front","None","Golden-ratio","BG-focus","Loose","Off-frame","No","配角","驚訝","動作描述","Off-L","Sit","場景","日間","雨天","道具","服裝","灰藍冷色/戲服濃艷","","機械","","嘈雜","Iris","Cut","Medium","Setup","起","2","鋪墊","視覺潛台詞描述","引導線","中景焦點","虛化","開闘","陳凱歌","中式留白","Melancholic","Low-key lighting"
"E001_S008","1","1","8","2.1","OTS","High-angle","Tilt-up","Normal 50mm","Shallow","Hard-key","Low-key","Golden-hour","Side-L","Dappled","Leading-lines","Deep-all","Cropped","Looking-room","Yes","群演","糾結","動作描述","Off-R","Stand","場景","日間","雪天","道具","服裝","灰藍冷色/戲服濃艷","","腳步聲","","迴響","Cut","Dissolve","Fast","Setup","起","2","鋪墊","視覺潛台詞描述","遮擋物","中景焦點","活動","疏離","陳凱歌","中式留白","Tense","Rembrandt lighting"
"E001_S009","1","1","9","2.6","POV","Bird-eye","Dolly-in","Tele 85mm","Rack-focus","Soft-key","Split","Warm-3200K","Side-R","Harsh","Center","Layered","Breathing-room","Lead-left","No","主角","堅定","動作描述","Down","Static","場景","日間","霧天","道具","服裝","灰藍冷色/戲服濃艷","對話內容","環境音","","空曠","Dissolve","Fade-in","Slow","Build","起","2","升溫","視覺潛台詞描述","無","中景焦點","城市景","溫馨","陳凱歌","中式留白","Hopeful","Split lighting"
"E001_S010","1","1","10","4.9","2Shot","Oblique","Truck-L","Tele 135mm","Split-diopter","Natural","Silhouette","Neutral-5600K","Back","Soft","Dynamic-diagonal","Split","Tight","Lead-right","No","配角","迷茫","動作描述","Up","Enter-L","場景","日間","晴天","道具","服裝","灰藍冷色/戲服濃艷","","衣物","背景配樂","壓抑","Fade-in","Fade-out","Medium","Build","起","2","升溫","視覺潛台詞描述","模糊前景","中景焦點","自然景","神秘","陳凱歌","中式留白","Desperate","Butterfly lighting"
"E001_S011","1","2","11","3.6","3Shot","Low-angle","Crane-up","Macro","Deep","Practical","Natural","Cool-7000K","Top","Dramatic","Rule-of-thirds","FG-focus","Normal","Center","No","群演","緊張","動作描述","Distance","Enter-R","場景","日間","陰天","道具","服裝","灰藍冷色/戲服濃艷","","呼吸","","溫馨","Fade-out","Match-cut","Fast","Build","起","2","升溫","視覺潛台詞描述","框架元素","中景焦點","室內","危險","陳凱歌","中式留白","Serene","Silhouette lighting"
"E001_S012","1","2","12","3.6","Insert","Worm-eye","Handheld","Wide 16mm","Shallow","Mixed","Low-key","Mixed","Rim","None","Symmetry","MG-focus","Loose","Off-frame","Yes","主角","悲傷","動作描述","Camera","Exit-L","場景","日間","雨天","道具","服裝","灰藍冷色/戲服濃艷","對話內容","風聲","","安靜","Match-cut","J-cut","Slow","Build","起","2","升溫","視覺潛台詞描述","引導線","中景焦點","虛化","壓抑","陳凱歌","中式留白","Chaotic","Chiaroscuro lighting"
