shot_id,episode,画面描述,视频描述,Image_Prompt,Video_Prompt
"E001_S001",1,"夏日午後，千尋一家駕駛的紅色古董轎車行駛在鄉間公路上。車窗外是茂密的森林和藍天白雲，陽光透過樹葉灑下斑駁光影。千尋（10歲）無精打采地坐在後座，抱著一束朋友送的告別花束，表情落寞。父親開車，母親坐在副駕駛座，兩人對新生活充滿期待，與千尋的憂鬱形成對比。車內光線溫暖，整體色調是吉卜力標誌性的柔和綠色與藍色，充滿夏日午後的慵懶感。","固定機位，從車內後座拍攝前窗視角。鏡頭微微晃動模擬行車顛簸感，持續5秒。畫面焦點在千尋倒映在車窗上的憂鬱側臉，窗外風景快速掠過形成動感模糊。剪輯點：下一個鏡頭切到車外遠景。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, interior of a red vintage car driving on a country road, summer afternoon, dense forest outside the window, dappled sunlight filtering through leaves, a 10-year-old girl (Chihiro) sitting in the back seat looking melancholy, holding a farewell bouquet, parents in front seats, warm interior lighting, soft green and blue color palette, cinematic, 8K, film grain, detailed background, --ar 16:9 --sref 1863909815","Cinematic car interior shot, medium shot from back seat, looking through front windshield, subtle camera shake simulating car movement, 5 seconds, melancholic summer atmosphere, Ghibli style"
"E001_S002",1,"轎車緩緩停在一座爬滿藤蔓的古老石砌隧道入口前。隧道入口呈拱形，深不見底，散發著神秘氣息。入口處立著一個斑駁的石雕神像，表情威嚴。周圍樹木異常高大，光線變得昏暗，與之前的明媚夏日形成強烈對比。千尋一家下車，父親好奇地打量隧道，母親有些猶豫，千尋則緊緊抓著母親的衣角，臉上寫滿不安。色調轉為冷峻的藍綠色，光影對比強烈。","低角度仰拍鏡頭，從地面向上拍攝隧道入口，強調其壓迫感。鏡頭緩慢後拉（Dolly Out），同時微微上抬（Tilt Up），展現隧道全貌和一家三口的渺小身影。時長6秒，節奏緩慢而懸疑。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, ancient stone tunnel entrance overgrown with vines,拱形入口 deep and mysterious, weathered stone statue beside entrance, tall eerie trees surrounding, a red vintage car parked nearby, a family of three (father, mother, 10-year-old girl) standing before the tunnel, girl clutching mother's clothes looking fearful,冷峻 blue-green color palette, dramatic lighting, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","Low angle shot of tunnel entrance, slow dolly out combined with tilt up, 6 seconds, mysterious and foreboding atmosphere, Ghibli cinematic style"
"E001_S003",1,"隧道內部，牆壁是潮濕的深色石塊，長滿發光的苔蘚，提供微弱照明。千尋一家手牽手行走，腳步聲在空曠隧道中迴響。父親走在最前，用手電筒照亮前方；母親緊跟其後；千尋被夾在中間，不斷回頭看越來越遠的入口光亮。光線從入口處的圓形光斑逐漸過渡到隧道深處的幽藍色生物光，營造出漸進的迷失感。空氣中飄浮著細微的灰塵顆粒。","跟隨推進鏡頭（Follow Push），從一家三口背後跟拍。鏡頭保持中景距離，隨著他們深入而緩慢推進。時長7秒，節奏均勻。重點捕捉千尋頻頻回頭的動作和臉上逐漸增強的恐懼。隧道盡頭的光點逐漸變大。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, interior of a mystical stone tunnel, damp dark stone walls covered in glowing blue-green moss, a family of three walking hand-in-hand, father leading with flashlight, mother in middle, young girl (Chihiro) looking back fearfully, circular light from entrance fading behind them,幽藍色生物光 ahead, floating dust particles, atmospheric, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","Follow push shot from behind the family, medium shot, slow dolly in as they walk deeper into tunnel, 7 seconds, suspenseful and atmospheric, Ghibli style lighting"
"E001_S004",1,"隧道出口，刺眼的白光過渡後，展現一個江戶時代風格的空蕩小鎮。石板街道兩旁是古色古香的木造建築，掛滿紅燈籠和招牌。街道中央擺滿美食攤位：堆積如山的炸雞、晶瑩剔透的糰子、冒著熱氣的拉麵、色彩鮮豔的和果子。食物描繪得極其誘人，散發著蒸汽和油光。但詭異的是，整個小鎮空無一人，只有風吹動招牌的吱呀聲。天色是黃昏時分，天空呈現吉卜力特有的粉紫色漸層。","鏡頭從隧道出口的過曝白光快速淡入（Fade In）到小鎮全景。開始是固定機位大遠景（Extreme Long Shot），展示小鎮全貌。3秒後，鏡頭開始緩慢向右平移（Pan Right），掃過街道兩旁的美食攤位。時長8秒，節奏先靜後動。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, empty Edo-period style town at dusk, stone-paved street, traditional wooden buildings with red lanterns and signs, food stalls lining the street: piles of fried chicken, glistening dango, steaming ramen bowls, colorful wagashi, all food rendered in mouth-watering detail,整个小镇空无一人,粉紫色黄昏天空 with soft clouds, atmospheric, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","Cinematic establishing shot, extreme long shot of mysterious town, slow pan right to reveal food stalls, 8 seconds, atmospheric dusk lighting, Ghibli style magical realism"
"E001_S005",1,"中景鏡頭對準千尋的父母。他們被美食誘惑，眼睛發直，嘴角不自覺流下口水。父親率先走到一個炸雞攤前，徒手抓起巨大的炸雞腿大口啃食；母親也拿起一個糰子塞進嘴裡。兩人進食的動作誇張而貪婪，完全失去了平時的優雅。千尋站在他們身後幾步遠，試圖勸阻：“爸爸，媽媽，我們還是走吧...這裡好奇怪。”但父母充耳不聞，背景的食物蒸汽扭曲了光線，使他們的形象顯得有些怪異。","固定機位中景，聚焦父母貪吃的動作。鏡頭微微前推（Dolly In），強調他們逐漸失控的狀態。時長5秒。剪輯時加入千尋焦急的台詞：“爸爸，媽媽，我們還是走吧...這裡好奇怪。”聲音從畫外傳來。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, medium shot of Chihiro's parents greedily eating at food stall, father devouring a giant fried chicken leg, mother stuffing dango into her mouth, exaggerated eating motions, drool, glazed eyes, steam from food distorting light around them, Chihiro visible in background looking worried,黄昏光线, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","Medium shot fixed on parents eating, slow dolly in to emphasize their transformation, 5 seconds, unsettling atmosphere, dialogue: 'Dad, Mom, let's go... this place is weird.'"
"E001_S006",1,"千尋獨自在空蕩的街道上奔跑，鏡頭跟隨她的主觀視角（POV）。兩旁的美食攤位快速掠過，那些誘人的食物在昏暗光線下開始顯得詭異——炸雞的油光過於鮮亮，糰子的顏色過於鮮豔。遠處傳來蒸汽火車的汽笛聲，悠長而孤寂。天色迅速變暗，街道兩旁的紅燈籠逐一亮起，投下搖曳的紅色光影。千尋的呼吸聲和腳步聲在寂靜中格外清晰，她的恐懼達到頂點。","第一人稱主視角鏡頭（FPV），模擬千尋奔跑時的晃動視野。鏡頭輕微晃動，兩側景物快速後移。時長6秒，節奏緊張。配合蒸汽火車汽笛聲和千尋急促的呼吸聲。燈籠逐一亮起的過程用光影變化表現。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, first-person view running through empty town street at night, food stalls blurring past on both sides, red lanterns lighting up one by one, casting swaying red shadows, eerie atmosphere, steam train whistle in distance, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","First-person perspective shot, running through town, handheld camera shake, 6 seconds, tense and fearful atmosphere, Ghibli style night scene"
"E001_S007",1,"千尋跑回父母所在的美食攤前，驚恐地停下腳步。眼前的景象駭人：父母已完全變成兩頭巨大的豬，穿著人類的衣服殘片，仍在貪婪地拱食攤位上的食物，發出響亮的咀嚼和哼叫聲。攤位周圍散落著他們的人類衣物。霧氣不知何時瀰漫開來，籠罩了街道。一個身穿白色和服、黑髮飄逸的少年（白龍）突然從霧中現身，站在千尋身後不遠處，表情嚴肅。色調轉為冷藍色，霧氣使光線漫射。","鏡頭從千尋的背部特寫開始，她停下奔跑。鏡頭緩慢繞過她的肩膀（Over the Shoulder），揭示前方恐怖的景象：變成豬的父母。然後鏡頭快速拉遠（Zoom Out）至中景，將白龍納入畫面邊緣。時長7秒，節奏先慢後快，營造震驚感。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, Chihiro standing horrified before food stall, her parents transformed into two giant pigs wearing tattered human clothes, greedily eating, mist filling the street, a boy in white kimono (Haku) appearing from mist behind her,冷蓝色调, dramatic lighting, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","Over-the-shoulder shot revealing transformed parents, then zoom out to include Haku, 7 seconds, shocking and atmospheric, Ghibli dramatic moment"
"E001_S008",1,"特寫千尋的手。在昏暗的紅燈籠光下，她的手指開始變得透明，能隱約看到後方的景物。透明化從指尖向上蔓延，像褪色一樣。千尋驚恐地看著自己的手，呼吸急促。白龍的聲音從畫外傳來，嚴厲而急促：“你不能待在這裡！天黑後還留在這裡的人，都會消失！”千尋抬頭，眼中含淚，臉龐也開始微微透明。背景是兩頭豬進食的模糊身影和瀰漫的霧氣，營造出絕望的奇幻氛圍。","極特寫（Extreme Close-Up）千尋的手，鏡頭固定。透明化的過程用逐幀動畫般的細微變化表現。時長5秒。配合白龍的畫外音警告。最後一幀，鏡頭微微上搖（Tilt Up）到千尋含淚的眼睛特寫，作為本分鐘的結束定格。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, extreme close-up of Chihiro's hand becoming transparent under red lantern light, fingers fading to semi-transparency,能看到后方模糊景物, tearful eyes in reflection, atmospheric mist, two pig silhouettes in background, cinematic, 8K, film grain, --ar 16:9 --sref 1863909815","Extreme close-up of hand becoming transparent, fixed shot, 5 seconds, magical and terrifying transformation, final tilt up to eyes, Ghibli emotional climax"
"E001_S009",1,"黄昏时分，千寻一家站在一条被茂密森林环绕的古老石砌隧道入口前。隧道口爬满藤蔓，内部幽深黑暗，与外界温暖的夕阳形成强烈对比。千寻紧抓着妈妈的手，脸上写满不安和抗拒，而父母则显得兴致勃勃，对未知的探险充满好奇。吉卜力风格的柔和光影在森林地面上投下长长的影子，空气中有细小的光尘飞舞。氛围神秘而略带不祥的预感。","镜头从一家三口的背后中景开始，缓慢向前推近，模拟他们向隧道口靠近的视角。镜头焦点从父母的背影逐渐转移到千寻紧张的脸上。时长4秒，节奏缓慢而充满悬念，营造进入未知领域前的犹豫感。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, dusk, a family of three standing before an ancient stone tunnel entrance overgrown with vines, dense forest surrounding, long shadows, girl looking apprehensive holding mother's hand, parents looking curious, magical dust particles in the air, mysterious atmosphere, --ar 16:9 --sref 1863909815","Cinematic shot, medium shot from behind, slow dolly push towards the dark tunnel entrance, focus rack from parents to the girl's worried face, 4 seconds, mysterious and suspenseful atmosphere, Ghibli style"
"E001_S010",1,"隧道内部，石壁上布满青苔和奇异的发光符文。千寻被父母拉着，在狭窄的通道中前行。唯一的光源来自隧道另一端出口的奇异光芒，以及墙壁上微弱发光的蓝色符文。千寻的影子被拉得很长，她频频回头看向来时的光亮入口，脸上充满恐惧。父母则大步向前，被出口的光芒吸引。画面色彩以冷色调的蓝、绿为主，光影对比强烈。","主观视角镜头（POV from 千寻），模拟千寻在隧道中被拖拽前进的视角。镜头轻微晃动，表现不安。随着前进，镜头焦点从近处潮湿的石壁滑向远处发光的出口。时长3秒，节奏紧张，配合脚步声和呼吸声。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, inside a narrow ancient tunnel, glowing blue runes on mossy stone walls, parents pulling a reluctant girl forward, light at the end of the tunnel, cold blue and green color palette, strong chiaroscuro lighting, fearful expression on girl's face, --ar 16:9 --sref 1863909815","First-person POV shot, shaky camera moving through a narrow tunnel, focus pull from mossy walls to the bright exit, 3 seconds, tense and claustrophobic, Ghibli style"
