shot_id,duration,shot_type,camera,character,action,dialogue,Image_Prompt,Video_Prompt
1,6,全景,固定鏡頭，緩慢平移,千尋，父母,一家三口站在一個古老、爬滿藤蔓的石砌隧道入口前，千尋緊抓著媽媽的手臂，表情緊張,千尋：我們真的要進去嗎？,"A wide shot of a mysterious, ancient stone tunnel entrance overgrown with ivy and moss. A young girl in a green shirt clings to her mother's arm, looking apprehensive, while her father stands confidently. Bright daylight outside contrasts with the tunnel's darkness. Studio Ghibli style, detailed watercolor painting, soft natural lighting, sense of foreboding.","A wide, static shot of the ancient tunnel entrance. The camera slowly pans from the family to the dark opening, emphasizing the contrast between the safe, sunlit field and the mysterious tunnel. Studio Ghibli aesthetic, soft natural light, detailed background painting."
2,5,中景,跟拍，從背後,千尋，父母,父母毫不猶豫地走進隧道陰影中，千尋遲疑地跟在後面，回頭看了一眼來時的路,父親：別怕，這可能是個舊公園的入口。,"Medium shot from behind as a family walks into a dark, stone tunnel. The parents stride ahead confidently, while the young girl lags behind, turning her head to look back at the light. Studio Ghibli style, high contrast between light and shadow, detailed textures on the stone walls.","A medium tracking shot following the family from behind as they enter the tunnel. The camera moves with them, focusing on Chihiro's hesitant body language as she looks back. Ghibli style, lighting shifts from bright to dim."
3,8,全景,緩慢拉遠,千尋，父母,隧道內部，光線從另一端透入，形成長長的光柱。三人的身影在光柱中變成剪影，走向遠處的光亮,,"A wide interior shot of a long, arched stone tunnel. Beams of light pierce through dust particles, creating dramatic light shafts. Three silhouetted figures walk towards the distant light source. Studio Ghibli style, atmospheric, volumetric lighting, ethereal mood.","A wide, slow pull-back shot inside the tunnel. The camera reveals the scale and atmosphere as the family walks away as silhouettes towards the light. Studio Ghibli aesthetic, emphasizing dust motes in light beams and a sense of transition."
4,7,中景,從側面跟拍,千尋,千尋在隧道中快步小跑，追上父母，臉上帶著不安和好奇，手撫摸著潮濕的牆壁,千尋：這裡好安靜啊...,"Medium shot of a young girl running slightly to catch up in a dim tunnel. She touches the mossy, wet stone wall with a mix of fear and curiosity on her face. Studio Ghibli style, soft side lighting from the tunnel exit, detailed character expression.","A medium tracking shot from the side, following Chihiro as she jogs through the tunnel. The camera focuses on her interaction with the environment and her expressive face. Ghibli style, fluid animation, subtle lighting changes."
5,6,全景,從隧道內向外推,千尋，父母,三人走出隧道，眼前豁然開朗，是一片廣闊的草原和廢棄的日式建築群，風吹過草地,母親：看，果然是舊址。空氣真好。,"A wide shot from inside the tunnel looking out to a vast, sunlit meadow with overgrown grass and distant, mysterious abandoned buildings. The family stands at the exit, backlit. Studio Ghibli style, lush greenery, deep blue sky with fluffy clouds, inviting yet eerie.","A shot starting inside the tunnel, then pushing forward through the exit, revealing the expansive, beautiful yet strange landscape. The camera movement mimics stepping into a new world. Ghibli style, vibrant colors, wind effects on grass."
6,5,中景,固定,父母,父母興奮地走向一座空無一人的美食攤位，攤位上擺滿了豐盛、冒著熱氣的食物,父親：哇！看起來真不錯！還沒人看管？,"Medium shot of parents approaching a richly stocked food stall with steaming roasted meats, dumplings, and fruits. They look delighted and surprised. Studio Ghibli style, detailed and appetizing food render, warm golden hour lighting.","A static medium shot as the parents walk into frame towards the food stall. The focus is on their eager expressions and the detailed, tempting food. Ghibli style, warm lighting makes the food glow."
7,4,近景,固定,千尋,千尋站在遠處，皺著眉頭，雙手不安地握在一起，沒有靠近食物,千尋：爸爸，媽媽，我們不應該吃別人的東西...,"Close-up of Chihiro's worried face. She frowns, biting her lip slightly, her hands clasped tightly in front of her. Studio Ghibli style, expressive eyes showing apprehension, soft lighting contrasting her worry against the warm background.","A close-up static shot of Chihiro's face, highlighting her concerned expression and internal conflict as she watches her parents. Ghibli style, subtle eye and mouth animation to convey unease."
8,6,中景,搖鏡，從千尋搖到父母,父母,父母不聽勸告，已經開始大口吃起來，臉上露出滿足甚至貪婪的表情,母親：沒關係，我們留下錢就好了。真好吃！,"Medium shot of the parents greedily eating food from the stall. Their faces show excessive enjoyment, sauce on their chins. Studio Ghibli style, slightly exaggerated expressions, warm but isolating lighting.","A panning shot from Chihiro's worried perspective to her parents eating ravenously. The camera movement connects her isolation to their indulgence. Ghibli style, focus on their rapid eating motions."
9,8,特寫,極慢推近,父親的手,父親的手抓起又一個食物塞進嘴裡，動作變得急促、機械,,"Extreme close-up on a father's hand grabbing a piece of meat and shoving it into his mouth. The motion is frantic. Studio Ghibli style, detailed hand animation, food textures, unsettling mood.","An extreme close-up, slow push-in on the father's hand repeatedly grabbing food. The movement becomes more frantic, signaling loss of control. Ghibli style, detailed animation of fingers and food."
10,7,全景（俯角）,拉遠並緩慢上升,父母，千尋,父母的身體開始扭曲變形，衣服散落，逐漸變成兩頭粉色的豬，發出哼叫聲。千尋在遠處驚恐地捂住嘴,千尋：啊——！爸爸！媽媽！,"High-angle wide shot. Two humans are grotesquely transforming into large, pink pigs amidst scattered clothing and overturned food. A small girl stands horrified in the background. Studio Ghibli style, surreal and horrifying transformation sequence, dramatic lighting.","A wide shot that slowly pulls back and rises, revealing the full, horrifying transformation of the parents into pigs. Chihiro's small figure is seen reacting in shock. Ghibli style, fluid but disturbing metamorphosis animation."
